closeness_centrality,[5. 2.]
86,"[tensor(2.0277), tensor(2.0478), tensor(1.8418), tensor(1.8890), tensor(2.0132), tensor(2.0672), tensor(2.0008), tensor(2.0454), tensor(1.8462), tensor(1.8581)]"
87,"[tensor(1.9501), tensor(1.8557), tensor(2.0714), tensor(2.0515), tensor(1.8737), tensor(1.8490), tensor(1.9722), tensor(1.9151), tensor(2.0724), tensor(2.0662)]"
88,"[tensor(2.0384), tensor(2.0615), tensor(1.8622), tensor(1.9048), tensor(2.0296), tensor(2.0780), tensor(2.0061), tensor(2.0575), tensor(1.8634), tensor(1.8682)]"
89,"[tensor(1.9768), tensor(1.8671), tensor(2.0800), tensor(2.0580), tensor(1.8884), tensor(1.8709), tensor(1.9940), tensor(1.9216), tensor(2.0819), tensor(2.0740)]"
90,"[tensor(2.0473), tensor(2.0721), tensor(1.8741), tensor(1.9162), tensor(2.0449), tensor(2.0900), tensor(2.0096), tensor(2.0716), tensor(1.8720), tensor(1.8867)]"
91,"[tensor(1.9841), tensor(1.8756), tensor(2.0890), tensor(2.0675), tensor(1.8989), tensor(1.8843), tensor(2.0146), tensor(1.9155), tensor(2.0926), tensor(2.0802)]"
92,"[tensor(2.0507), tensor(2.0835), tensor(1.8809), tensor(1.9149), tensor(2.0493), tensor(2.0987), tensor(1.9935), tensor(2.0812), tensor(1.8719), tensor(1.8814)]"
93,"[tensor(1.9808), tensor(1.8742), tensor(2.0926), tensor(2.0729), tensor(1.9027), tensor(1.8816), tensor(2.0107), tensor(1.9112), tensor(2.0988), tensor(2.0863)]"
94,"[tensor(2.0586), tensor(2.0966), tensor(1.8769), tensor(1.9191), tensor(2.0547), tensor(2.1021), tensor(2.0071), tensor(2.0871), tensor(1.8713), tensor(1.8769)]"
95,"[tensor(1.9897), tensor(1.8915), tensor(2.1022), tensor(2.0797), tensor(1.9040), tensor(1.8782), tensor(2.0190), tensor(1.9176), tensor(2.1108), tensor(2.0976)]"
96,"[tensor(2.0734), tensor(2.1138), tensor(1.8824), tensor(1.9261), tensor(2.0702), tensor(2.1106), tensor(2.0320), tensor(2.1030), tensor(1.8779), tensor(1.8930)]"
97,"[tensor(2.0102), tensor(1.9150), tensor(2.1154), tensor(2.0979), tensor(1.9144), tensor(1.8847), tensor(2.0386), tensor(1.9322), tensor(2.1222), tensor(2.1206)]"
98,"[tensor(2.0925), tensor(2.1270), tensor(1.8967), tensor(1.9343), tensor(2.0863), tensor(2.1270), tensor(2.0491), tensor(2.1173), tensor(1.8904), tensor(1.9227)]"
99,"[tensor(2.0292), tensor(1.9472), tensor(2.1290), tensor(2.1109), tensor(1.9302), tensor(1.9008), tensor(2.0599), tensor(1.9388), tensor(2.1355), tensor(2.1341)]"
