out_deg_centrality,[8.]
80,"[tensor(1.9345), tensor(1.8889), tensor(1.9540), tensor(1.8391), tensor(1.8076), tensor(1.8007), tensor(1.9153), tensor(1.9601), tensor(1.7812), tensor(1.9758)]"
81,"[tensor(1.8286), tensor(1.8450), tensor(1.8013), tensor(1.9651), tensor(1.9030), tensor(1.9638), tensor(1.7981), tensor(1.7792), tensor(1.9675), tensor(1.8115)]"
82,"[tensor(1.9429), tensor(1.8941), tensor(1.9585), tensor(1.8292), tensor(1.8049), tensor(1.7926), tensor(1.9180), tensor(1.9690), tensor(1.7759), tensor(1.9761)]"
83,"[tensor(1.8258), tensor(1.8613), tensor(1.7972), tensor(1.9626), tensor(1.9022), tensor(1.9718), tensor(1.7878), tensor(1.7719), tensor(1.9681), tensor(1.7979)]"
84,"[tensor(1.9497), tensor(1.8917), tensor(1.9562), tensor(1.8162), tensor(1.8078), tensor(1.7858), tensor(1.9180), tensor(1.9685), tensor(1.7678), tensor(1.9707)]"
85,"[tensor(1.8207), tensor(1.8697), tensor(1.7943), tensor(1.9634), tensor(1.9020), tensor(1.9700), tensor(1.7766), tensor(1.7697), tensor(1.9684), tensor(1.7856)]"
86,"[tensor(1.9482), tensor(1.8843), tensor(1.9567), tensor(1.8058), tensor(1.8048), tensor(1.7802), tensor(1.9077), tensor(1.9687), tensor(1.7624), tensor(1.9756)]"
87,"[tensor(1.8198), tensor(1.8709), tensor(1.7888), tensor(1.9678), tensor(1.9012), tensor(1.9696), tensor(1.7681), tensor(1.7740), tensor(1.9752), tensor(1.7868)]"
88,"[tensor(1.9470), tensor(1.8845), tensor(1.9590), tensor(1.8036), tensor(1.8000), tensor(1.7811), tensor(1.9182), tensor(1.9714), tensor(1.7619), tensor(1.9751)]"
89,"[tensor(1.8124), tensor(1.8551), tensor(1.7837), tensor(1.9648), tensor(1.8964), tensor(1.9700), tensor(1.7650), tensor(1.7790), tensor(1.9870), tensor(1.7896)]"
